columns_and_rows;naive_multiplication_time;better_multiplication_time;blas_time
50;0.000098;0.000067;0.000097
50;0.000094;0.000063;0.000103
50;0.000093;0.000073;0.000095
50;0.000104;0.000062;0.000092
50;0.000093;0.000063;0.000129
50;0.000093;0.000062;0.000092
50;0.000093;0.000061;0.000091
50;0.000093;0.000064;0.000112
50;0.000093;0.000062;0.000124
50;0.000154;0.000076;0.000114
100;0.000944;0.000470;0.000702
100;0.000847;0.000632;0.001020
100;0.001298;0.000695;0.001074
100;0.000966;0.000449;0.000664
100;0.000819;0.000472;0.000645
100;0.000816;0.000448;0.000669
100;0.000814;0.000437;0.000710
100;0.000896;0.000475;0.000754
100;0.000805;0.000504;0.000652
100;0.000813;0.000437;0.000670
150;0.002834;0.001525;0.002231
150;0.002914;0.001524;0.002104
150;0.002866;0.001468;0.002066
150;0.002745;0.001430;0.002067
150;0.002790;0.001467;0.002049
150;0.002752;0.001416;0.002069
150;0.002769;0.001419;0.002067
150;0.002757;0.001409;0.002065
150;0.002768;0.001419;0.002056
150;0.002798;0.001433;0.002046
200;0.006946;0.003416;0.004956
200;0.007169;0.003376;0.004985
200;0.006968;0.003371;0.004951
200;0.007080;0.003367;0.004981
200;0.006976;0.003367;0.004961
200;0.007034;0.003358;0.004949
200;0.007026;0.003374;0.004936
200;0.007097;0.003360;0.005001
200;0.006975;0.003366;0.004936
200;0.007021;0.003373;0.005013
250;0.013911;0.006524;0.009594
250;0.013756;0.006514;0.009665
250;0.013778;0.006506;0.009582
250;0.013775;0.006525;0.009524
250;0.013955;0.006514;0.009642
250;0.013928;0.006530;0.009496
250;0.013790;0.006572;0.009574
250;0.013966;0.006480;0.009604
250;0.013943;0.006708;0.009660
250;0.013965;0.006499;0.009583
300;0.024385;0.011145;0.016567
300;0.024234;0.011064;0.016424
300;0.024393;0.011258;0.016453
300;0.024292;0.011115;0.016415
300;0.024150;0.011123;0.016400
300;0.024019;0.011158;0.016365
300;0.024181;0.011231;0.016428
300;0.024171;0.011328;0.016488
300;0.024460;0.011130;0.016410
300;0.024332;0.011117;0.016687
350;0.043223;0.017254;0.025930
350;0.044593;0.017359;0.026030
350;0.043754;0.017601;0.026017
350;0.043648;0.017570;0.026123
350;0.043637;0.017723;0.026189
350;0.042949;0.017586;0.026148
350;0.043239;0.017859;0.026266
350;0.042985;0.017663;0.026103
350;0.042943;0.017736;0.026215
350;0.043048;0.017902;0.026075
400;0.059407;0.026241;0.038536
400;0.059607;0.025735;0.038710
400;0.059301;0.025678;0.038663
400;0.059128;0.025795;0.039170
400;0.058733;0.026030;0.039114
400;0.059367;0.025748;0.039223
400;0.059022;0.025714;0.039176
400;0.059201;0.025828;0.039297
400;0.058938;0.025726;0.038663
400;0.059516;0.025737;0.038667
450;0.088470;0.036439;0.054794
450;0.088864;0.036367;0.054843
450;0.088780;0.036399;0.055139
450;0.098148;0.037469;0.055129
450;0.089744;0.036949;0.058899
450;0.088443;0.036338;0.055082
450;0.088784;0.036427;0.056020
450;0.088832;0.036410;0.055156
450;0.088655;0.036346;0.055518
450;0.088478;0.036288;0.054806
500;0.132558;0.050077;0.074772
500;0.132881;0.050060;0.075001
500;0.132906;0.050091;0.075066
500;0.132568;0.050102;0.075125
500;0.132778;0.050040;0.075176
500;0.132573;0.050352;0.074944
500;0.132610;0.050276;0.074778
500;0.132449;0.050239;0.074810
500;0.132614;0.050197;0.075631
500;0.132945;0.050146;0.074693
550;0.194238;0.067470;0.099875
550;0.249911;0.066491;0.099713
550;0.179442;0.066029;0.100027
550;0.181676;0.066158;0.099685
550;0.179437;0.065878;0.099854
550;0.185406;0.067192;0.102526
550;0.180954;0.065970;0.099987
550;0.179988;0.066128;0.100179
550;0.179456;0.066306;0.099897
550;0.179984;0.066015;0.099834
600;0.232000;0.085642;0.128823
600;0.231874;0.085772;0.129163
600;0.235444;0.086684;0.129900
600;0.231853;0.085558;0.129346
600;0.232890;0.085448;0.130015
600;0.298013;0.089288;0.134738
600;0.232097;0.085467;0.129527
600;0.231633;0.085549;0.129358
600;0.231643;0.085716;0.129341
600;0.232841;0.085706;0.129323
650;0.296588;0.109445;0.172410
650;0.295432;0.109841;0.164674
650;0.306754;0.110885;0.164275
650;0.293829;0.108558;0.164406
650;0.293964;0.108614;0.163625
650;0.298625;0.109670;0.163522
650;0.294636;0.108757;0.163696
650;0.294516;0.108727;0.164246
650;0.294386;0.108950;0.164479
650;0.293984;0.108871;0.163859
700;0.517503;0.151030;0.204690
700;0.368687;0.136602;0.204637
700;0.378955;0.142163;0.203740
700;0.368000;0.136891;0.205641
700;0.405749;0.144185;0.205907
700;0.419294;0.141876;0.203202
700;0.368738;0.136411;0.203718
700;0.498095;0.151041;0.212903
700;0.368896;0.137238;0.206959
700;0.376809;0.136601;0.204602
750;0.440475;0.168810;0.249931
750;0.666185;0.194723;0.250538
750;0.439011;0.169388;0.249760
750;0.439316;0.169574;0.249099
750;0.442345;0.174195;0.256258
750;0.455500;0.176944;0.250177
750;0.439084;0.170074;0.249660
750;0.438797;0.170394;0.249890
750;0.439386;0.170046;0.250400
750;0.439061;0.169304;0.249615
800;0.562352;0.206622;0.302981
800;0.561810;0.208981;0.307456
800;0.559850;0.207215;0.307047
800;0.558913;0.207446;0.306871
800;0.558183;0.208648;0.317950
800;0.568898;0.208852;0.309164
800;0.563202;0.208280;0.307085
800;0.571175;0.206686;0.307355
800;0.559230;0.207487;0.305433
800;0.564677;0.208277;0.306471
850;0.752996;0.268532;0.395996
850;0.810308;0.276139;0.391047
850;0.717882;0.261128;0.390272
850;0.729765;0.267098;0.379676
850;0.749662;0.264812;0.385472
850;0.755015;0.269948;0.392271
850;0.711532;0.264675;0.375251
850;0.735120;0.267685;0.380876
850;0.706969;0.258092;0.392350
850;0.718036;0.262636;0.385220
900;1.512770;0.347300;0.513038
900;1.712979;0.358161;0.529218
900;1.528110;0.352468;0.518903
900;1.535019;0.351279;0.511648
900;1.514831;0.352573;0.516753
900;1.522735;0.348665;0.513115
900;1.513847;0.349113;0.518080
900;1.530437;0.356440;0.521418
900;1.529674;0.348335;0.513200
900;1.503959;0.351375;0.489565
950;1.467574;0.430415;0.626155
950;1.768109;0.444371;0.617831
950;1.405367;0.442374;0.625887
950;1.405708;0.442388;0.624972
950;1.404137;0.442331;0.620026
950;1.405127;0.440723;0.620530
950;1.406406;0.441807;0.618739
950;1.413420;0.441935;0.618395
950;1.413853;0.442169;0.616337
950;1.403365;0.441503;0.627604
1000;3.460879;0.513612;0.739746
1000;3.361136;0.516300;0.731265
1000;3.267402;0.512809;0.740335
1000;3.404622;0.513544;0.729594
1000;3.547104;0.514230;0.733544
1000;3.277679;0.513377;0.738872
1000;3.464005;0.515145;0.737600
1000;3.482529;0.514640;0.732226
1000;3.504133;0.512673;0.740367
1000;3.531563;0.513426;0.733976
